city,eiu_region,year,value
Belgrade,Eastern Europe,2020,56
Tehran,Middle East & Africa,2020,62
Cairo,Middle East & Africa,2020,54
St Petersburg,Eastern Europe,2020,47
Riyadh,Middle East & Africa,2020,54
Casablanca,Middle East & Africa,2020,52
Sofia,Eastern Europe,2020,53
Johannesburg,Middle East & Africa,2020,46
Budapest,Eastern Europe,2020,50
Dakar,Middle East & Africa,2020,53
Panama city,Latin America & the Caribbean,2020,49
Pretoria,Middle East & Africa,2020,44
Kathmandu,Asia & Australasia,2020,46
Mumbai,Asia & Australasia,2020,47
Colombo,Asia & Australasia,2020,46
Asunción,Latin America & the Caribbean,2020,41
Bucharest,Eastern Europe,2020,45
Lagos,Middle East & Africa,2020,42
Algiers,Middle East & Africa,2020,39
New Delhi,Asia & Australasia,2020,42
Bangalore,Asia & Australasia,2020,40
Chennai,Asia & Australasia,2020,40
Lusaka,Middle East & Africa,2020,30
Caracas,Latin America & the Caribbean,2020,30
Karachi,Asia & Australasia,2020,35
Buenos Aires,Latin America & the Caribbean,2020,35
Almaty,Eastern Europe,2020,33
Tashkent,Eastern Europe,2020,29
Damascus,Middle East & Africa,2020,22
Osaka,Asia & Australasia,2019,102
Singapore,Asia & Australasia,2019,102
Hong Kong,Asia & Australasia,2019,102
New York,North America,2019,100
Zurich,Western Europe,2019,99
Paris,Western Europe,2019,99
Tel Aviv,Middle East & Africa,2019,97
Tokyo,Asia & Australasia,2019,96
Los Angeles,North America,2019,96
Geneva,Western Europe,2019,95
Copenhagen,Western Europe,2019,92
Oslo,Western Europe,2019,90
Seoul,Asia & Australasia,2019,90
Minneapolis,North America,2019,84
San Francisco,North America,2019,83
Vienna,Western Europe,2019,83
Amman,Middle East & Africa,2019,82
Sydney,Asia & Australasia,2019,82
Helsinki,Western Europe,2019,82
Frankfurt,Western Europe,2019,82
Houston,North America,2019,81
Dublin,Western Europe,2019,81
Shanghai,Asia & Australasia,2019,80
Melbourne,Asia & Australasia,2019,80
London,Western Europe,2019,80
Bangkok,Asia & Australasia,2019,79
Shenzhen,Asia & Australasia,2019,79
Milan,Western Europe,2019,79
Reykjavik,Western Europe,2019,78
"Washington, DC",North America,2019,77
Munich,Western Europe,2019,77
Nouméa,Asia & Australasia,2019,77
Boston,North America,2019,76
Seattle,North America,2019,76
Chicago,North America,2019,76
Vancouver,North America,2019,75
Pittsburgh,North America,2019,75
Barcelona,Western Europe,2019,75
Hamburg,Western Europe,2019,75
Wellington,Asia & Australasia,2019,74
Auckland,Asia & Australasia,2019,74
Madrid,Western Europe,2019,74
Abu Dhabi,Middle East & Africa,2019,73
Amsterdam,Western Europe,2019,73
Brisbane,Asia & Australasia,2019,73
Brussels,Western Europe,2019,73
Rome,Western Europe,2019,73
Düsseldorf,Western Europe,2019,73
Beijing,Asia & Australasia,2019,72
Dalian,Asia & Australasia,2019,72
Honolulu,North America,2019,71
Manchester,Western Europe,2019,71
Adelaide,Asia & Australasia,2019,71
Berlin,Western Europe,2019,71
Hanoi,Asia & Australasia,2019,70
Mexico city,Latin America & the Caribbean,2019,70
Lyon,Western Europe,2019,69
Lexington,North America,2019,68
Miami,North America,2019,68
Dubai,Middle East & Africa,2019,68
Stockholm,Western Europe,2019,68
Taipei,Asia & Australasia,2019,68
Atlanta,North America,2019,66
Lima,Latin America & the Caribbean,2019,66
Montreal,North America,2019,66
Cleveland,North America,2019,66
Dhaka,Asia & Australasia,2019,66
Nairobi,Middle East & Africa,2019,66
Tianjin,Asia & Australasia,2019,66
Luxembourg,Western Europe,2019,66
Phnom Penh,Asia & Australasia,2019,65
Suzhou,Asia & Australasia,2019,65
Detroit,North America,2019,65
Ho Chi Minh city,Asia & Australasia,2019,64
Santiago,Latin America & the Caribbean,2019,64
Guangzhou,Asia & Australasia,2019,64
Perth,Asia & Australasia,2019,64
Guatemala city,Latin America & the Caribbean,2019,63
Qingdao,Asia & Australasia,2019,63
San José,Latin America & the Caribbean,2019,62
Quito,Latin America & the Caribbean,2019,61
Bahrain,Middle East & Africa,2019,60
Montevideo,Latin America & the Caribbean,2019,60
Jakarta,Asia & Australasia,2019,59
Toronto,North America,2019,59
Kyiv,Eastern Europe,2019,58
Moscow,Eastern Europe,2019,58
Lisbon,Western Europe,2019,58
Athens,Western Europe,2019,58
Manila,Asia & Australasia,2019,57
Kuala Lumpur,Asia & Australasia,2019,57
Prague,Eastern Europe,2019,57
Doha,Middle East & Africa,2019,55
Kuwait city,Middle East & Africa,2019,55
Bandar Seri Begawan,Asia & Australasia,2019,55
Istanbul,Eastern Europe,2019,54
Rio de Janeiro,Latin America & the Caribbean,2019,54
São Paulo,Latin America & the Caribbean,2019,54
Jeddah,Middle East & Africa,2019,54
Warsaw,Eastern Europe,2019,54
Bogotá,Latin America & the Caribbean,2019,54
Al Khobar,Middle East & Africa,2019,53
