city,country,eiu_region,year,value,rank
St Petersburg,Russia,Eastern Europe,2022,66,73
Detroit,US,North America,2022,66,73
San Juan,US,North America,2022,66,73
Perth,Australia,Asia & Australasia,2022,66,73
Guangzhou,China,Asia & Australasia,2022,66,73
Nantong,China,Asia & Australasia,2022,66,73
Suzhou,China,Asia & Australasia,2022,66,73
Berlin,Germany,Western Europe,2022,66,73
Rome,Italy,Western Europe,2022,66,73
Manchester,UK,Western Europe,2022,66,73
Harare,Zimbabwe,Middle East & Africa,2022,65,83
Phnom Penh,Cambodia,Asia & Australasia,2022,65,83
Calgary,Canada,North America,2022,65,83
Hanoi,Vietnam,Asia & Australasia,2022,65,83
Guatemala City,Guatemala,Latin America & the Caribbean,2022,64,87
Zhuhai,China,Asia & Australasia,2022,64,87
Bangkok,Thailand,Asia & Australasia,2022,64,87
Dubai,UAE,Middle East & Africa,2022,63,90
Qingdao,China,Asia & Australasia,2022,63,90
Fuzhou,China,Asia & Australasia,2022,63,90
Kaohsiung,Taiwan,Asia & Australasia,2022,63,90
Taichung,Taiwan,Asia & Australasia,2022,63,90
Lyon,France,Western Europe,2022,63,90
Lima,Peru,Latin America & the Caribbean,2022,62,96
Montevideo,Uruguay,Latin America & the Caribbean,2022,62,96
Port Moresby,Papua New Guinea,Asia & Australasia,2022,62,96
Santiago de Querétaro,Mexico,Latin America & the Caribbean,2022,61,99
Ho Chi Minh City,Vietnam,Asia & Australasia,2022,61,99
Xian,China,Asia & Australasia,2022,61,99
Dhaka,Bangladesh,Asia & Australasia,2022,61,99
Stockholm,Sweden,Western Europe,2022,61,99
Toronto,Canada,North America,2022,60,104
Luxembourg,Luxembourg,Western Europe,2022,60,104
Rotterdam,Netherlands,Western Europe,2022,59,106
Busan,South Korea,Asia & Australasia,2022,59,106
San José,Costa Rica,Latin America & the Caribbean,2022,58,108
Bahrain,Bahrain,Middle East & Africa,2022,58,108
Quito,Ecuador,Latin America & the Caribbean,2022,58,108
Dongguan,China,Asia & Australasia,2022,58,108
Nairobi,Kenya,Middle East & Africa,2022,58,108
Baku,Azerbaijan,Western Europe,2022,57,113
Prague,Czech Rep,Eastern Europe,2022,57,113
Doha,Qatar,Middle East & Africa,2022,56,115
Jakarta,Indonesia,Asia & Australasia,2022,56,115
Santiago,Chile,Latin America & the Caribbean,2022,56,115
Bratislava,Slovakia,Eastern Europe,2022,56,115
Jeddah,Saudi Arabia,Middle East & Africa,2022,55,119
Athens,Greece,Western Europe,2022,55,119
Aguascalientes,Mexico,Latin America & the Caribbean,2022,54,121
Chongqing,China,Asia & Australasia,2022,54,121
Lisbon,Portugal,Western Europe,2022,54,121
Riyadh,Saudi Arabia,Middle East & Africa,2022,53,124
Bandar Seri Begawan,Brunei,Asia & Australasia,2022,53,124
Kuala Lumpur,Malaysia,Asia & Australasia,2022,53,124
Manila,Philippines,Asia & Australasia,2022,53,124
Al Khobar,Saudi Arabia,Middle East & Africa,2022,52,128
